model,seed,clean_accuracy,text_missing_accuracy,clean_macro_f1,text_missing_macro_f1
TFN,42,0.603021978021978,0.5237179487179487,0.5932944158849326,0.511430011979691
TFN,43,0.6181318681318682,0.5781135531135532,0.5906461982589555,0.5507686890657502
TFN,44,0.6085164835164835,0.5505494505494506,0.5777249292565682,0.5215329606094464
LMF,42,0.5961538461538461,0.5096153846153846,0.582213082753265,0.48763123358498983
LMF,43,0.5796703296703297,0.5265567765567766,0.5653733235076114,0.505292075290653
LMF,44,0.6016483516483516,0.5234432234432235,0.5681503622317616,0.4823832903532992
MFN,42,0.5906593406593407,0.514010989010989,0.5778195641982103,0.5033810344852001
MFN,43,0.6057692307692307,0.5298534798534799,0.579908853471136,0.5043640194787273
MFN,44,0.5934065934065934,0.5243589743589744,0.5893715742773981,0.5220118884921486
MulT,42,0.6277472527472527,0.5967948717948718,0.5639489809864086,0.5265474209277686
MulT,43,0.6236263736263736,0.5926739926739927,0.610761990402054,0.5840231844054591
MulT,44,0.6002747252747253,0.5454212454212455,0.5926446396009314,0.5465991896121001
MISA,42,0.6208791208791209,0.6076923076923076,0.6064599103053888,0.5937590688151402
MISA,43,0.614010989010989,0.6024725274725274,0.6020458704655488,0.5911280066968543
MISA,44,0.6043956043956044,0.5861721611721612,0.5945552154955883,0.5749815240052046
Self-MM,42,0.6414835164835165,0.6187728937728938,0.6196451958566496,0.5969571818560016
Self-MM,43,0.6332417582417582,0.6244505494505495,0.6029295208861772,0.5965047396010824
Self-MM,44,0.6318681318681318,0.6221611721611722,0.6094348386498346,0.5974580706293608
MMIM,42,0.6332417582417582,0.6194139194139194,0.6103185469149325,0.5999562517136109
MMIM,43,0.6414835164835165,0.6278388278388278,0.6116007955440884,0.5989473392197324
MMIM,44,0.6332417582417582,0.6195054945054945,0.6112270322974176,0.5976228107709548
MAG-BERT,42,0.6277472527472527,0.5941391941391941,0.6089597198785065,0.5855502073966434
MAG-BERT,43,0.6346153846153846,0.6095238095238096,0.6223026910146473,0.5524035483143919
MAG-BERT,44,0.646978021978022,0.6182234432234432,0.6204120950306886,0.5938166522325501
TFR-Net,42,0.6414835164835165,0.6368131868131868,0.6304329392857695,0.613403410482181
TFR-Net,43,0.6291208791208791,0.6125457875457876,0.6144501493338703,0.588746307664392
TFR-Net,44,0.6414835164835165,0.6307692307692307,0.6240164946913535,0.604287127147445
MissModal,42,0.6346153846153846,0.6319597069597069,0.6072942042105037,0.607074897454372
MissModal,43,0.6222527472527473,0.6048534798534798,0.6187161729098419,0.6011290862160893
MissModal,44,0.6346153846153846,0.6225274725274725,0.6062702160694035,0.595405462233813
M3S,42,0.6071428571428571,0.5186813186813187,0.5969935207427253,0.505717638015235
M3S,43,0.5961538461538461,0.5472527472527473,0.5692436672537912,0.5261507547400137
M3S,44,0.6071428571428571,0.5321428571428571,0.566263356839823,0.49332731220056486
MMIN,42,0.6442307692307693,0.6323260073260073,0.6128322667675207,0.6005470309936763
MMIN,43,0.6318681318681318,0.6267399267399267,0.6032703621253827,0.599098935565402
MMIN,44,0.6387362637362637,0.6220695970695971,0.6189037429139028,0.5998340481916468
B0,42,0.6456043956043956,0.635164835164835,0.6039545367307048,0.595478072682381
P2,42,0.646978021978022,0.625091575091575,0.6240416686587537,0.6033066513401214
B0,43,0.6373626373626373,0.6223443223443224,0.6159943192590218,0.6004537158708217
P2,43,0.6401098901098901,0.6191391941391942,0.6270149857494879,0.6046956545418332
B0,44,0.6373626373626373,0.6228021978021978,0.6218423070928129,0.6091740095051047
P2,44,0.6373626373626373,0.6221611721611721,0.6218423070928129,0.608688005044599
