model,parameters,family,training_regime
TFN,4840670,standard fusion,standard clean training
LMF,323276,standard fusion,standard clean training
MFN,261764,standard fusion,standard clean training
MulT,624094,standard fusion,standard clean training
MISA,1118852,standard fusion,standard clean training
Self-MM,82119,standard fusion,standard clean training
MMIM,163204,standard fusion,standard clean training
MAG-BERT,477188,standard fusion,standard clean training
TFR-Net,415620,missing-aware,missing-aware training
MissModal,163204,missing-aware,missing-aware training
M3S,323276,missing-aware,missing-aware training
MMIN,292164,missing-aware,missing-aware training
B0,163460,project baseline,standard clean training
P2,164343,project model,standard clean training
